！,!
？,?
。,.
　, 
亜,가
唖,각
娃,간
阿,갇
哀,갈
愛,갉
挨,갊
姶,감
逢,갑
葵,값
茜,갓
穐,갔
悪,강
握,갖
渥,갗
旭,같
葦,갚
芦,갛
鯵,개
梓,객
圧,갠
斡,갤
扱,갬
宛,갭
姐,갯
虻,갰
飴,갱
絢,갸
綾,갹
鮎,갼
或,걀
粟,걋
袷,걍
安,걔
庵,걘
按,걜
暗,거
案,걱
闇,건
鞍,걷
杏,걸
以,걺
伊,검
位,겁
依,것
偉,겄
囲,겅
夷,겆
委,겉
威,겊
尉,겋
惟,게
意,겐
慰,겔
易,겜
椅,겝
為,겟
畏,겠
異,겡
移,겨
維,격
緯,겪
胃,견
萎,겯
衣,결
謂,겸
違,겹
遺,겻
医,겼
井,경
亥,곁
域,계
育,곈
郁,곌
磯,곕
一,곗
壱,고
溢,곡
逸,곤
稲,곧
茨,골
芋,곪
鰯,곬
允,곯
印,곰
咽,곱
員,곳
因,공
姻,곶
引,과
飲,곽
淫,관
胤,괄
蔭,괆
院,괌
陰,괍
隠,괏
韻,광
吋,괘
右,괜
宇,괠
烏,괩
羽,괬
迂,괭
雨,괴
卯,괵
鵜,괸
窺,괼
丑,굄
碓,굅
臼,굇
渦,굉
嘘,교
唄,굔
欝,굘
蔚,굡
鰻,굣
姥,구
厩,국
浦,군
瓜,굳
閏,굴
噂,굵
云,굶
運,굻
雲,굼
荏,굽
餌,굿
叡,궁
営,궂
嬰,궈
影,궉
映,권
曳,궐
栄,궜
永,궝
泳,궤
洩,궷
瑛,귀
盈,귁
穎,귄
頴,귈
英,귐
衛,귑
詠,귓
鋭,규
液,균
疫,귤
益,그
駅,극
悦,근
謁,귿
越,글
閲,긁
榎,금
厭,급
円,긋
園,긍
堰,긔
奄,기
宴,긱
延,긴
怨,긷
掩,길
援,긺
沿,김
演,깁
炎,깃
焔,깅
煙,깆
燕,깊
猿,까
縁,깍
艶,깎
苑,깐
薗,깔
遠,깖
鉛,깜
鴛,깝
塩,깟
於,깠
汚,깡
甥,깥
凹,깨
央,깩
奥,깬
往,깰
応,깸
押,깹
旺,깻
横,깼
欧,깽
殴,꺄
王,꺅
翁,꺌
襖,꺼
鴬,꺽
鴎,꺾
黄,껀
岡,껄
沖,껌
荻,껍
億,껏
屋,껐
憶,껑
臆,께
桶,껙
牡,껜
乙,껨
俺,껫
卸,껭
恩,껴
温,껸
穏,껼
音,꼇
下,꼈
化,꼍
仮,꼐
何,꼬
伽,꼭
価,꼰
佳,꼲
加,꼴
可,꼼
嘉,꼽
夏,꼿
嫁,꽁
家,꽂
寡,꽃
科,꽈
暇,꽉
果,꽐
架,꽜
歌,꽝
河,꽤
火,꽥
珂,꽹
禍,꾀
禾,꾄
稼,꾈
箇,꾐
花,꾑
苛,꾕
茄,꾜
荷,꾸
華,꾹
菓,꾼
蝦,꿀
課,꿇
嘩,꿈
貨,꿉
迦,꿋
過,꿍
霞,꿎
蚊,꿔
俄,꿜
峨,꿨
我,꿩
牙,꿰
画,꿱
臥,꿴
芽,꿸
蛾,뀀
賀,뀁
雅,뀄
餓,뀌
駕,뀐
介,뀔
会,뀜
解,뀝
回,뀨
